#{"t_start": 1756509039.3470886, "env_id": "PickCube-v1"}
r,l,t
22.373818,50,2.435423
9.798095,50,3.192714
6.090267,50,3.55843
16.653825,50,3.930802
6.019888,50,4.305145
16.641733,50,4.679606
5.207705,50,5.050778
7.492512,50,5.443569
9.532526,50,5.841294
5.845192,50,6.236719
23.318949,50,6.611997
16.342093,50,6.982745
8.810556,50,7.351034
5.963039,50,7.723814
6.685865,50,8.09233
2.820726,50,8.459746
4.469279,50,8.827667
5.418361,50,9.211716
8.167973,50,9.579931
11.680605,50,9.984179
9.187109,50,10.355132
10.508952,50,10.732288
9.674791,50,11.099531
4.86399,50,11.465583
20.364212,50,11.833418
7.013091,50,12.20132
18.68451,50,12.574653
13.943225,50,12.942718
11.95018,50,13.315452
8.431132,50,13.680093
22.743896,50,14.048466
6.005014,50,14.41212
6.085819,50,14.788359
16.202672,50,15.161398
8.459987,50,15.525237
10.513692,50,15.90333
8.294322,50,16.280192
10.259297,50,16.647552
12.808997,50,17.013057
6.519924,50,17.388472
9.063362,50,17.759656
4.602892,50,18.128593
15.019912,50,18.512601
10.86701,50,18.879903
4.447513,50,19.28513
5.081562,50,19.65025
6.92285,50,20.016673
7.920851,50,20.387348
3.812518,50,20.754855
11.4133,50,21.122014
18.58129,50,21.494752
15.243867,50,21.862341
7.536984,50,22.22694
9.031045,50,22.601053
7.956304,50,22.967213
11.561319,50,23.349284
16.65822,50,23.722859
11.908903,50,24.091483
9.49239,50,24.455076
11.890993,50,24.826386
21.581926,50,25.198121
7.93289,50,25.570744
4.836829,50,25.943469
6.550178,50,26.318017
13.422463,50,26.701348
22.564143,50,27.077863
7.178233,50,27.444948
3.077538,50,27.809669
7.055842,50,28.197645
10.263639,50,28.566171
19.007175,50,28.943501
24.537032,50,29.322621
21.711294,50,29.703149
8.512415,50,30.102289
9.050257,50,30.477641
6.807672,50,30.84469
18.033518,50,31.213944
8.303651,50,31.58878
7.670826,50,31.959669
23.920561,50,32.343972
15.650095,50,32.71094
11.772244,50,33.076595
